ΕΚΔΟΤΗΣ,ΚΩΔΙΚΟΣ ΗΛΕΚΤΡΟΝΙΚΗΣ ΠΛΗΡΩΜΗΣ,"ΑΡΙΘΜΟΣ
ΛΟΓΑΡΙΑΣΜΟΥ",ΠΕΛΑΤΗΣ,"ΠΟΣΟ
ΠΛΗΡΩΜΗΣ","ΗΜΕΡΟΜΗΝΙ
ΕΚΔΟΣΗΣ","ΠΡΟΘΕΣΜΙΑ
ΠΛΗΡΩΜΗΣ"
COSMOTE,RF10203040,CO20250501001,ΓΙΟΛΔΑΣΗΣ ΝΕΚΤΑΡΙΟΣ,€29.46,2026-02-01,2026-02-21
COSMOTE,RF10203041,CO20250501002,ΝΙΚΟΣ ΠΑΠΠΑΣ,€37.45,2026-02-01,2026-02-21
COSMOTE,RF10203042,CO20250501003,ΓΙΩΓΟΣ ΧΑΛΚΙΑΔΑΚΗΣ,€52.00,2026-02-01,2026-02-21
COSMOTE,RF10203043,CO20250501004,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,€35.99,2026-02-01,2026-02-21
COSMOTE,RF10203044,CO20250501005,ΜΑΡΙΑ ΤΕΡΑΝΟΒΑ,€42.11,2026-02-01,2026-02-21
VODAFONE GR,RF10203045,VF20250415001,ΝΕΚΤΑΡΙΟΣ ΓΙΟΛΔΑΣΗΣ,€45.50,2026-02-10,2026-03-02
VODAFONE GR,RF10203046,VF20250415002,ΝΙΚΟΣ ΠΑΠΠΑΣ,€45.50,2026-02-10,2026-03-02
VODAFONE GR,RF10203047,VF20250415003,ΓΙΩΓΟΣ ΧΑΛΚΙΑΔΑΚΗΣ,€35.60,2026-02-10,2026-03-02
VODAFONE GR,RF10203048,VF20250415004,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,€35.00,2026-02-10,2026-03-02
NOVA,RF10203049,NV20250425001,ΜΑΡΙΑ ΤΕΡΑΝΟΒΑ,€102.00,2026-03-01,2026-03-21
NOVA,RF10203050,NV20250425002,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,€37.80,2026-03-01,2026-03-21
COSMOTE,RF10203040,CO20250601001,ΝΕΚΤΑΡΙΟΣ ΓΙΟΛΔΑΣΗΣ,€29.30,2026-03-15,2026-04-04
COSMOTE,RF10203041,CO20250601002,ΝΙΚΟΣ ΠΑΠΠΑΣ,€36.80,2026-03-15,2026-04-04
COSMOTE,RF10203042,CO20250601003,ΓΙΩΓΟΣ ΧΑΛΚΙΑΔΑΚΗΣ,€52.00,2026-03-15,2026-04-04
COSMOTE,RF10203043,CO20250601004,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,€32.10,2026-03-15,2026-04-04
COSMOTE,RF10203044,CO20250601005,ΜΑΡΙΑ ΤΕΡΑΝΟΒΑ,€40.00,2026-03-15,2026-04-04
