,,,,,,,,,,,
,,,,ΠΑΓΙΕΣ ΕΝΤΟΛΕΣ ΠΛΗΡΩΜΗΣ ,,,,,,,
,,,,,,,,,,,
,"ΚΩΔΙΚΟΣ
ΠΛΗΡΩΜΗΣ","ΦΙΛΙΚΗ
ΟΝΟΜΑΣΙΑ",ΠΕΡΙΓΡΑΦΗ,ΚΑΤΟΧΟΣ,"ΑΝΩΤΑΤΟ
ΕΠΙΤΡΕΠΟΜΕΝΟ
ΠΟΣΟ ΛΟΓΑΡΙΑΣΜΟΥ","ΕΝΕΡΓΗ 
ΑΠΟ","ΕΝΕΡΓΗ
ΕΩΣ","ΤΕΛΟΣ
ΕΚΤΕΛΕΣΗΣ",ΛΟΓΑΡΙΑΣΜΟΣ ΧΡΕΩΣΗΣ,,
,RF10203040,ΚΙΝΗΤΟ,Mobile Bill,ΝΕΚΤΑΡΙΟΣ ΓΙΟΛΔΑΣΗΣ,€60.00,2026-01-01,2026-12-31,0.30,GR100202503111546001,,
,RF10203043,MOBILE,067688307,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,€50.00,2026-01-01,2026-12-31,0.30,GR100202503111546005,,
,RF10203041,ΣΤΑΘΕΡΗ,Statheri,ΝΙΚΟΣ ΠΑΠΠΑΣ,€60.00,2026-01-01,2026-12-31,0.30,GR100202503111546002,,
,RF10203050,Nova TV,Δημητρίου Ελένη ,ΕΛΕΝΗ ΔΗΜΗΤΡΙΟΥ,€45.00,2026-01-01,2026-12-31,0.30,GR100202503111546005,,
,,,,,,,,,,,
,,,,ΠΑΓΙΕΣ ΕΝΤΟΛΕΣ ΜΕΤΑΦΟΡΑΣ,,,,,,,
,,,,,,,,,,,
,"ΦΙΛΙΚΗ
ΟΝΟΜΑΣΙΑ",ΠΕΡΙΓΡΑΦΗ,ΚΑΤΟΧΟΣ,ΠΟΣΟ,"ΕΝΕΡΓΗ
ΑΠΟ","ΕΝΕΡΓΗ
ΕΩΣ","ΤΕΛΟΣ
ΕΚΤΕΛΕΣΗΣ","ΛΟΓΑΡΙΑΣΜΟΣ
ΧΡΕΩΣΗΣ","ΛΟΓΑΡΙΑΣΜΟΣ
ΠΙΣΤΩΣΗΣ","ΣΥΧΝΟΤΗΤΑ
(ΑΝΑ # ΜΗΝΕΣ)","ΗΜΕΡΑ
ΕΚΤΕΛΕΣΗΣ","ΤΥΠΟΣ"
,RENT,GIOLDASIS RENT,ΝΕΚΤΑΡΙΟΣ ΓΙΟΛΔΑΣΗΣ,€450.00,2026-01-01,2026-06-30,0.10,GR100202503111546004,GR100202503111546003,1,1,INTERNAL
,ENGLISH,ΑΓΓΛΙΚΑ Λ.,ΝΙΚΟΣ ΠΑΠΠΑΣ,€180.00,2026-01-01,2026-06-30,0.10,GR100202503111546002,GR100202503111546006,2,15,INTERNAL
,TUDELF FEE,DIDAKTRA K.,ΝΙΚΟΣ ΠΑΠΠΑΣ,€120.00,2026-01-01,2026-07-31,1.20,GR100202503111546002,DU552202603111549009,1,10,SEPA
,FRENCH,ΓΑΛΛΙΚΑ ΕΙΡΗΝΗΣ,ΓΙΩΡΓΟΣ ΧΑΛΚΙΑΔΑΚΗΣ,€100.00,2026-01-01,2026-06-30,0.10,GR100202503111546003,GR100202503111546005,1,28,INTERNAL
,ΑΠΟΤΑΜΙΕΥΣΗ,,ΓΙΩΡΓΟΣ ΧΑΛΚΙΑΔΑΚΗΣ,€100.00,2026-01-01,2026-06-30,4.00,GR100202503111546004,US860202604132546006,1,1,SWIFT
